ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
293,4371.25,117.073,8.21385,1460.78,2910.47,45.7545,71.3182,7.25591,0.957948,1460.78,2910.47,45.7545,71.3182,7.25591,0.957948
302,3935.72,117.089,9.31107,1332.02,2603.7,38.4338,78.6557,7.90556,1.4055,1332.02,2603.7,38.4338,78.6557,7.90556,1.4055
311,3649.99,119.046,10.9594,1235.46,2414.53,29.7419,89.3045,8.33793,2.62149,1235.46,2414.53,29.7419,89.3045,8.33793,2.62149
320,3411.94,112.762,12.6384,1170.41,2241.53,20.0939,92.6682,8.5603,4.07814,1170.41,2241.53,20.0939,92.6682,8.5603,4.07814
329,3173.93,117.149,15.1816,1135.01,2038.92,9.99833,107.151,8.58251,6.59904,1135.01,2038.92,9.99833,107.151,8.58251,6.59904
338,2842.13,105.901,16.0657,1126.82,1715.32,0.0726734,105.828,8.41122,7.65447,1126.82,1715.32,0.0726734,105.828,8.41122,7.65447
347,2498.24,86.2064,16.2208,1142.61,1355.63,-8.94663,95.153,8.05261,8.16818,1142.61,1355.63,-8.94663,95.153,8.05261,8.16818
356,2358.31,79.8487,18.6902,1177.98,1180.32,-16.3179,96.1666,7.51511,11.1751,1177.98,1180.32,-16.3179,96.1666,7.51511,11.1751
365,2186.33,61.0311,18.5056,1229.79,956.537,-21.8124,82.8435,6.84996,11.6556,1229.79,956.537,-21.8124,82.8435,6.84996,11.6556
374,2038.68,46.4875,21.0827,1294.3,744.38,-25.5931,72.0806,6.13127,14.9514,1294.3,744.38,-25.5931,72.0806,6.13127,14.9514
383,1891.76,31.557,21.4257,1366.66,525.092,-27.7621,59.3191,5.444,15.9817,1366.66,525.092,-27.7621,59.3191,5.444,15.9817
