ell,Dl_obs,Dl_te_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te
1157,1220.58,17.4137,3.70315e+07,-3.70303e+07,-2.43269e+06,2.4327e+06,3.70315e+07,-3.70303e+07,-2.43269e+06,2.4327e+06
1166,1159.29,17.0738,3.82163e+07,-3.82151e+07,-2.29067e+06,2.29069e+06,3.82163e+07,-3.82151e+07,-2.29067e+06,2.29069e+06
1175,1143.31,16.7064,3.92669e+07,-3.92658e+07,-2.10617e+06,2.10619e+06,3.92669e+07,-3.92658e+07,-2.10617e+06,2.10619e+06
1184,1136.56,16.2877,4.01525e+07,-4.01513e+07,-1.88678e+06,1.8868e+06,4.01525e+07,-4.01513e+07,-1.88678e+06,1.8868e+06
1193,1086.25,15.798,4.08425e+07,-4.08414e+07,-1.63935e+06,1.63936e+06,4.08425e+07,-4.08414e+07,-1.63935e+06,1.63936e+06
1202,1005.41,15.6192,4.13115e+07,-4.13105e+07,-1.3696e+06,1.36961e+06,4.13115e+07,-4.13105e+07,-1.3696e+06,1.36961e+06
1211,975.189,15.0725,4.15445e+07,-4.15435e+07,-1.08458e+06,1.0846e+06,4.15445e+07,-4.15435e+07,-1.08458e+06,1.0846e+06
1220,970.73,14.5429,4.15509e+07,-4.15499e+07,-795646,795661,4.15509e+07,-4.15499e+07,-795646,795661
1229,906.514,14.0551,4.13426e+07,-4.13417e+07,-513937,513951,4.13426e+07,-4.13417e+07,-513937,513951
1238,895.506,13.5898,4.09314e+07,-4.09306e+07,-249250,249264,4.09314e+07,-4.09306e+07,-249250,249264
1247,860.053,13.1409,4.0325e+07,-4.03242e+07,-10598.7,10611.8,4.0325e+07,-4.03242e+07,-10598.7,10611.8
1256,805.618,12.7338,3.95296e+07,-3.95288e+07,194108,-194096,3.95296e+07,-3.95288e+07,194108,-194096
1265,777.489,12.3852,3.85774e+07,-3.85766e+07,359140,-359128,3.85774e+07,-3.85766e+07,359140,-359128
1274,770.016,12.0958,3.75143e+07,-3.75135e+07,480024,-480011,3.75143e+07,-3.75135e+07,480024,-480011
1283,736.545,11.9242,3.63831e+07,-3.63824e+07,552885,-552873,3.63831e+07,-3.63824e+07,552885,-552873
1292,758.18,11.7413,3.5221e+07,-3.52203e+07,574044,-574033,3.5221e+07,-3.52203e+07,574044,-574033
1301,733.856,11.6762,3.40609e+07,-3.40601e+07,539910,-539898,3.40609e+07,-3.40601e+07,539910,-539898
1310,712.532,11.6379,3.29334e+07,-3.29327e+07,449018,-449006,3.29334e+07,-3.29327e+07,449018,-449006
1319,718.903,11.6475,3.18765e+07,-3.18758e+07,307036,-307025,3.18765e+07,-3.18758e+07,307036,-307025
1328,723.408,11.7158,3.09262e+07,-3.09255e+07,120532,-120520,3.09262e+07,-3.09255e+07,120532,-120520
1337,757.937,11.8054,3.0115e+07,-3.01142e+07,-104564,104576,3.0115e+07,-3.01142e+07,-104564,104576
1346,737.666,11.93,2.94724e+07,-2.94717e+07,-363268,363280,2.94724e+07,-2.94717e+07,-363268,363280
1355,765.134,12.0808,2.9025e+07,-2.90242e+07,-651365,651377,2.9025e+07,-2.90242e+07,-651365,651377
1364,776.923,12.2341,2.87841e+07,-2.87833e+07,-960908,960920,2.87841e+07,-2.87833e+07,-960908,960920
1373,777.362,12.3763,2.87458e+07,-2.8745e+07,-1.28004e+06,1.28006e+06,2.87458e+07,-2.8745e+07,-1.28004e+06,1.28006e+06
1382,773.981,12.5649,2.89054e+07,-2.89046e+07,-1.59794e+06,1.59796e+06,2.89054e+07,-2.89046e+07,-1.59794e+06,1.59796e+06
1391,806.044,12.7012,2.92589e+07,-2.92581e+07,-1.90463e+06,1.90464e+06,2.92589e+07,-2.92581e+07,-1.90463e+06,1.90464e+06
1400,830.177,12.7868,2.9807e+07,-2.98061e+07,-2.1917e+06,2.19171e+06,2.9807e+07,-2.98061e+07,-2.1917e+06,2.19171e+06
1409,822.186,12.8797,3.05442e+07,-3.05434e+07,-2.45142e+06,2.45144e+06,3.05442e+07,-3.05434e+07,-2.45142e+06,2.45144e+06
1418,818.106,12.943,3.14354e+07,-3.14346e+07,-2.67691e+06,2.67692e+06,3.14354e+07,-3.14346e+07,-2.67691e+06,2.67692e+06
1427,796.252,12.9542,3.24428e+07,-3.2442e+07,-2.86226e+06,2.86228e+06,3.24428e+07,-3.2442e+07,-2.86226e+06,2.86228e+06
1436,803.463,12.9324,3.35307e+07,-3.35299e+07,-3.00182e+06,3.00183e+06,3.35307e+07,-3.35299e+07,-3.00182e+06,3.00183e+06
1445,798.655,12.8711,3.46668e+07,-3.4666e+07,-3.09015e+06,3.09016e+06,3.46668e+07,-3.4666e+07,-3.09015e+06,3.09016e+06
1454,773.833,12.7736,3.58233e+07,-3.58225e+07,-3.12191e+06,3.12192e+06,3.58233e+07,-3.58225e+07,-3.12191e+06,3.12192e+06
1463,762.183,12.6209,3.69707e+07,-3.69699e+07,-3.0964e+06,3.09641e+06,3.69707e+07,-3.69699e+07,-3.0964e+06,3.09641e+06
1472,749.532,12.5094,3.80683e+07,-3.80676e+07,-3.01787e+06,3.01788e+06,3.80683e+07,-3.80676e+07,-3.01787e+06,3.01788e+06
1481,738.185,12.3407,3.9079e+07,-3.90783e+07,-2.89054e+06,2.89055e+06,3.9079e+07,-3.90783e+07,-2.89054e+06,2.89055e+06
1490,727.424,12.0988,3.99701e+07,-3.99694e+07,-2.71792e+06,2.71793e+06,3.99701e+07,-3.99694e+07,-2.71792e+06,2.71793e+06
1499,701.642,11.881,4.07089e+07,-4.07082e+07,-2.50256e+06,2.50258e+06,4.07089e+07,-4.07082e+07,-2.50256e+06,2.50258e+06
1512,655.678,9.15414,4.14542e+07,-4.14535e+07,-2.12318e+06,2.12319e+06,4.14542e+07,-4.14535e+07,-2.12318e+06,2.12319e+06
1529,588.39,8.91434,4.18204e+07,-4.18198e+07,-1.55023e+06,1.55024e+06,4.18204e+07,-4.18198e+07,-1.55023e+06,1.55024e+06
1546,547.01,8.69233,4.14654e+07,-4.14648e+07,-951106,951114,4.14654e+07,-4.14648e+07,-951106,951114
1563,503.657,8.53597,4.03516e+07,-4.03511e+07,-380350,380359,4.03516e+07,-4.03511e+07,-380350,380359
1580,468.039,8.43458,3.86054e+07,-3.86049e+07,109950,-109942,3.86054e+07,-3.86049e+07,109950,-109942
1597,429.111,8.38753,3.6412e+07,-3.64116e+07,471242,-471233,3.6412e+07,-3.64116e+07,471242,-471233
1614,407.925,8.40105,3.39181e+07,-3.39177e+07,662612,-662603,3.39181e+07,-3.39177e+07,662612,-662603
1631,399.577,8.46498,3.13468e+07,-3.13464e+07,680214,-680206,3.13468e+07,-3.13464e+07,680214,-680206
1648,389.097,8.57693,2.89325e+07,-2.89321e+07,531242,-531234,2.89325e+07,-2.89321e+07,531242,-531234
1665,391.497,8.74009,2.68679e+07,-2.68676e+07,221543,-221534,2.68679e+07,-2.68676e+07,221543,-221534
1682,385.396,8.88135,2.52703e+07,-2.52699e+07,-203223,203231,2.52703e+07,-2.52699e+07,-203223,203231
1699,400.368,9.05388,2.42352e+07,-2.42348e+07,-691149,691158,2.42352e+07,-2.42348e+07,-691149,691158
1716,393.039,9.22308,2.38369e+07,-2.38365e+07,-1.19874e+06,1.19875e+06,2.38369e+07,-2.38365e+07,-1.19874e+06,1.19875e+06
1733,407.61,9.39501,2.39964e+07,-2.3996e+07,-1.67434e+06,1.67435e+06,2.39964e+07,-2.3996e+07,-1.67434e+06,1.67435e+06
1750,377.716,9.53506,2.46149e+07,-2.46145e+07,-2.06723e+06,2.06724e+06,2.46149e+07,-2.46145e+07,-2.06723e+06,2.06724e+06
1767,379.019,9.69283,2.56028e+07,-2.56025e+07,-2.3369e+06,2.33691e+06,2.56028e+07,-2.56025e+07,-2.3369e+06,2.33691e+06
1784,377.36,9.81874,2.67752e+07,-2.67748e+07,-2.47131e+06,2.47132e+06,2.67752e+07,-2.67748e+07,-2.47131e+06,2.47132e+06
1801,358.796,9.90416,2.79454e+07,-2.7945e+07,-2.46108e+06,2.46109e+06,2.79454e+07,-2.7945e+07,-2.46108e+06,2.46109e+06
1818,342.446,10.0136,2.8958e+07,-2.89577e+07,-2.30242e+06,2.30243e+06,2.8958e+07,-2.89577e+07,-2.30242e+06,2.30243e+06
1835,313.006,10.1366,2.96941e+07,-2.96938e+07,-2.03027e+06,2.03028e+06,2.96941e+07,-2.96938e+07,-2.03027e+06,2.03028e+06
1852,305.378,10.2489,3.00404e+07,-3.00401e+07,-1.67884e+06,1.67885e+06,3.00404e+07,-3.00401e+07,-1.67884e+06,1.67885e+06
1869,276.147,10.3638,2.99157e+07,-2.99154e+07,-1.28004e+06,1.28005e+06,2.99157e+07,-2.99154e+07,-1.28004e+06,1.28005e+06
1886,265.911,10.5367,2.93639e+07,-2.93637e+07,-881308,881319,2.93639e+07,-2.93637e+07,-881308,881319
1903,249.92,10.7092,2.8422e+07,-2.84217e+07,-528155,528165,2.8422e+07,-2.84217e+07,-528155,528165
1920,257.96,10.8758,2.71424e+07,-2.71421e+07,-255940,255951,2.71424e+07,-2.71421e+07,-255940,255951
1937,245.342,11.1141,2.56738e+07,-2.56735e+07,-82894.2,82905.3,2.56738e+07,-2.56735e+07,-82894.2,82905.3
1954,231.313,11.3362,2.41534e+07,-2.41531e+07,-28333.6,28345,2.41534e+07,-2.41531e+07,-28333.6,28345
1971,229.279,11.5868,2.26987e+07,-2.26985e+07,-99573.1,99584.7,2.26987e+07,-2.26985e+07,-99573.1,99584.7
1988,225.825,11.8344,2.14245e+07,-2.14243e+07,-273072,273084,2.14245e+07,-2.14243e+07,-273072,273084
2005,240.086,12.2834,2.04447e+07,-2.04444e+07,-529953,529965,2.04447e+07,-2.04444e+07,-529953,529965
2030,233.983,11.3909,1.9656e+07,-1.96557e+07,-1.00376e+06,1.00377e+06,1.9656e+07,-1.96557e+07,-1.00376e+06,1.00377e+06
