ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
87,2330.99,-12.7208,0.489592,2300.31,30.683,-14.7274,2.00656,0.571353,-0.081761,5034.42,-2703.43,-25.6351,12.9143,0.587123,-0.0975316
92,2446.65,-19.2047,0.789127,2442.58,4.06756,-17.8142,-1.39052,0.647629,0.141497,5403.02,-2956.37,-30.3747,11.17,0.677239,0.111888
97,2484.46,-19.0476,0.57472,2590.09,-105.636,-21.0048,1.95727,0.722929,-0.148209,5779.21,-3294.75,-35.361,16.3135,0.770498,-0.195778
104,2951.15,-28.1287,0.830793,2805.71,145.446,-25.5423,-2.5864,0.823298,0.0074953,6318.88,-3367.72,-42.6521,14.5234,0.903429,-0.0726356
113,3221.96,-31.7919,0.924375,3096.43,125.531,-31.2353,-0.556679,0.936562,-0.0121869,7033.08,-3811.12,-52.2953,20.5034,1.07226,-0.147885
122,3382.73,-35.701,1.11192,3398.08,-15.3566,-36.391,0.69005,1.02334,0.0885811,7764.82,-4382.09,-61.831,26.13,1.22989,-0.117972
131,3592.1,-41.5613,1.10666,3705.08,-112.983,-40.6,-0.961264,1.07609,0.0305659,8505.44,-4913.34,-70.7708,29.2095,1.36651,-0.259849
140,4229.84,-43.6625,1.09668,4011.3,218.538,-43.4797,-0.182858,1.09032,0.00636591,9246.35,-5016.52,-78.6336,34.9711,1.47389,-0.377206
149,4251.39,-45.0365,1.00578,4310.94,-59.5555,-44.7069,-0.329619,1.06584,-0.0600556,9981.5,-5730.11,-84.953,39.9165,1.54458,-0.538803
158,4778.71,-49.241,1.07943,4596.34,182.371,-44.0074,-5.23356,1.00702,0.0724138,10702.9,-5924.21,-89.2913,40.0503,1.57465,-0.495224
167,4844.8,-45.9645,0.855441,4861.21,-16.4149,-41.1908,-4.77368,0.92331,-0.067869,11401.8,-6557.03,-91.2275,45.263,1.56307,-0.707631
176,5120.63,-43.3901,0.96559,5098.19,22.4385,-36.1501,-7.23999,0.829123,0.136467,12067.5,-6946.88,-90.4009,47.0108,1.513,-0.547414
185,5373.97,-30.3906,0.835251,5300.95,73.0175,-28.8793,-1.51129,0.743596,0.0916551,12690.3,-7316.34,-86.5316,56.141,1.43147,-0.596218
194,5542.7,-18.1436,0.793541,5464.12,78.5848,-19.4786,1.33506,0.690096,0.103445,13261.4,-7718.66,-79.3888,61.2452,1.32718,-0.533636
203,5446.22,-7.21464,0.694054,5583.35,-137.13,-8.14991,0.935273,0.694997,-0.000942595,13772.8,-8326.61,-68.8335,61.6189,1.21151,-0.517452
212,5636.34,2.53847,0.877642,5654.44,-18.0974,4.81362,-2.27515,0.78606,0.0915829,14216.3,-8579.92,-54.8534,57.3919,1.10418,-0.22654
221,5816.48,17.9047,0.874199,5676.47,140.014,19.0297,-1.12503,0.990762,-0.116563,14585.4,-8768.9,-37.5794,55.4841,1.03544,-0.161238
230,5684.66,26.6053,1.23818,5648.81,35.8495,34.048,-7.44274,1.33523,-0.0970461,14874.1,-9189.42,-17.2153,43.8206,1.03507,0.20311
239,5776.16,46.2991,1.78071,5572.19,203.963,49.3666,-3.0675,1.84256,-0.0618475,15077.6,-9301.48,5.98371,40.3154,1.12987,0.650841
248,5435.47,50.6637,2.10983,5448.74,-13.2706,64.4463,-13.7826,2.53139,-0.421553,15192.7,-9757.23,31.725,18.9387,1.34214,0.76769
257,5228,71.5358,3.13386,5281.9,-53.8999,78.7352,-7.1994,3.41408,-0.28022,15217.4,-9989.38,59.6665,11.8693,1.6908,1.44307
266,5090.29,86.4306,3.86066,5076.13,14.164,91.6943,-5.2637,4.49395,-0.633291,15151.8,-10061.5,89.1872,-2.75665,2.2083,1.65236
275,5096.49,106.963,5.31265,4837.81,258.68,102.834,4.12873,5.76557,-0.452925,14998.4,-9901.9,119.576,-12.6136,2.92919,2.38346
284,4546.18,102.707,5.82483,4573.33,-27.1513,111.705,-8.99867,7.21478,-1.38996,14759.7,-10213.5,150.162,-47.4559,3.87935,1.94548
293,4371.25,117.073,8.21385,4290.13,81.1227,117.934,-0.861625,8.81874,-0.604884,14439.3,-10068.1,180.35,-63.2772,5.07595,3.13791
302,3935.72,117.089,9.31107,3995.51,-59.7905,121.215,-4.12526,10.5454,-1.23429,14040.6,-10104.9,209.609,-92.5196,6.52695,2.78411
311,3649.99,119.046,10.9594,3697.19,-47.2029,121.366,-2.31934,12.3554,-1.39601,13569.4,-9919.43,237.385,-118.339,8.23342,2.726
320,3411.94,112.762,12.6384,3402.78,9.1607,118.323,-5.56123,14.2019,-1.56345,13035.6,-9623.66,262.922,-150.16,10.1891,2.44937
329,3173.93,117.149,15.1816,3119.44,54.4944,112.132,5.0175,16.0321,-0.850515,12449.1,-9275.15,285.534,-168.385,12.3821,2.79948
338,2842.13,105.901,16.0657,2853.72,-11.5844,102.943,2.95737,17.79,-1.72435,11819.2,-8977.03,304.642,-198.741,14.7973,1.26833
347,2498.24,86.2064,16.2208,2611.4,-113.16,91.0302,-4.82382,19.4194,-3.19865,11154.4,-8656.14,319.786,-233.579,17.4194,-1.19863
356,2358.31,79.8487,18.6902,2396.94,-38.6302,76.7266,3.12212,20.8633,-2.17312,10462.3,-8103.99,330.573,-250.724,20.2289,-1.53872
365,2186.33,61.0311,18.5056,2214.44,-28.1122,60.5127,0.518399,22.0745,-3.56888,9753.98,-7567.65,336.8,-275.769,23.1789,-4.67332
374,2038.68,46.4875,21.0827,2066.37,-27.6934,42.9027,3.58473,23.0073,-1.92458,9041.34,-7002.67,338.324,-291.837,26.1999,-5.11716
383,1891.76,31.557,21.4257,1954.08,-62.3232,24.4791,7.07792,23.6265,-2.20087,8335.25,-6443.5,335.073,-303.516,29.2323,-7.80662
392,1787.59,19.7448,22.3593,1877.8,-90.2142,5.83694,13.9078,23.9058,-1.54653,7645.44,-5857.86,326.985,-307.24,32.2255,-9.86618
401,1734.58,-0.544681,21.1747,1836.43,-101.85,-12.4032,11.8585,23.8343,-2.65958,6980.31,-5245.73,314.026,-314.571,35.1442,-13.9695
410,1738.05,-21.8916,21.0336,1828.09,-90.0375,-29.649,7.75741,23.4099,-2.37629,6347.61,-4609.56,296.31,-318.202,37.9452,-16.9116
419,1731.61,-35.0666,19.2941,1849.58,-117.97,-45.3499,10.2833,22.6496,-3.35556,5754.14,-4022.53,274.421,-309.488,40.5546,-21.2605
428,1770.01,-48.4463,19.1288,1897.23,-127.215,-59.0175,10.5712,21.581,-2.45219,5206.3,-3436.29,248.973,-297.419,42.9006,-23.7718
437,1770.68,-61.9365,19.3346,1966.41,-195.73,-70.2502,8.31375,20.2476,-0.913061,4709.53,-2938.86,220.491,-282.427,44.9274,-25.5928
446,1856.79,-62.1436,17.3252,2052.35,-195.564,-78.7259,16.5824,18.7021,-1.37688,4269.14,-2412.35,189.421,-251.565,46.5881,-29.263
455,2045.9,-74.4981,15.4382,2149.63,-103.727,-84.2226,9.72449,17.0061,-1.56788,3889.54,-1843.64,156.136,-230.634,47.8454,-32.4072
464,2224.7,-80.0589,14.5813,2252.89,-28.187,-86.6292,6.57032,15.2298,-0.64848,3571.78,-1347.08,121.324,-201.383,48.6754,-34.094
473,2178.24,-75.3658,11.5893,2357.22,-178.974,-85.9904,10.6246,13.4531,-1.86383,3314.26,-1136.02,85.893,-161.259,49.0682,-37.4789
482,2323.36,-71.9894,11.4556,2457.5,-134.145,-82.4332,10.4437,11.7559,-0.300361,3115.13,-791.775,50.6801,-122.67,49.0143,-37.5587
491,2418.7,-71.1199,10.3049,2549.37,-130.673,-76.1983,5.07846,10.2184,0.0865409,2973.24,-554.544,16.4085,-87.5283,48.5043,-38.1994
500,2447.25,-59.624,8.30294,2628.93,-181.674,-67.6225,7.99849,8.91576,-0.612818,2887.94,-440.685,-16.2946,-43.3295,47.5241,-39.2211
509,2577.77,-47.175,8.22746,2692.74,-114.967,-57.1269,9.95181,7.91753,0.309932,2857.52,-279.751,-46.8716,-0.303418,46.0724,-37.8449
518,2558.51,-42.4169,7.35097,2738.81,-180.299,-45.2237,2.80677,7.28312,0.0678495,2875.72,-317.203,-74.7988,32.3819,44.2135,-36.8625
527,2579.22,-23.0411,6.50428,2765.37,-186.149,-32.463,9.42193,7.05901,-0.554729,2934.95,-355.731,-99.5755,76.5344,42.0175,-35.5132
536,2523.98,-18.6287,6.71246,2771.73,-247.748,-19.4185,0.78976,7.2778,-0.565336,3028.76,-504.776,-120.724,102.096,39.5408,-32.8283
