Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_Fixed-Size_Filament_Contraction_Model_(USMF)_Version_5,residual_Fixed-Size_Filament_Contraction_Model_(USMF)_Version_5
sn2005eq,0.029086,35.858819,0.141059,35.740065,0.11875448,35.748006,0.11081332
sn2006qo,0.029526,35.686443,0.142005,35.773396,-0.086953405,35.781276,-0.094833276
sn1990o,0.030325,35.747254,0.143169,35.832698,-0.085444743,35.840468,-0.09321394
sn2001ba,0.030381,35.918942,0.142175,35.836797,0.082144646,35.844559,0.074383176
sn2003ch,0.030416,35.941299,0.140939,35.839355,0.10194401,35.847112,0.094187366
sn1997dg,0.030482,36.197901,0.1417,35.844171,0.35373012,35.851919,0.34598258
sn1996c,0.030721,35.839872,0.142617,35.861525,-0.021653576,35.86924,-0.029368214
sn2006bt,0.031484,36.053917,0.140272,35.916058,0.13785931,35.923668,0.13024925
sn2006az,0.031485,35.938196,0.140346,35.916128,0.022067087,35.923738,0.014457162
sn2007bd,0.031638,35.835702,0.14121,35.926908,-0.091205933,35.934497,-0.098794974
sn1999cc,0.031764,35.884859,0.140686,35.935746,-0.050886771,35.943318,-0.058458636
sn2004as,0.032538,36.129874,0.14043,35.989301,0.14057387,35.996767,0.13310709
sn2004l,0.033173,35.996675,0.143111,36.032316,-0.035641158,36.039697,-0.043022271
sn2006s,0.033255,36.21217,0.139885,36.037812,0.17435815,36.045182,0.16698806
sn2006gr,0.033614,36.162256,0.139809,36.061719,0.10053682,36.069041,0.09321491
sn2005iq,0.034074,36.263162,0.138969,36.09199,0.17117187,36.09925,0.16391146
sn2005eu,0.034781,36.150741,0.141596,36.137746,0.012994982,36.144913,0.0058286008
sn1996bl,0.034854,35.992803,0.141007,36.142419,-0.14961574,36.149576,-0.15677245
sn2003iv,0.034971,36.260244,0.140126,36.149888,0.11035611,36.15703,0.1032149
sn1992bg,0.035218,36.134253,0.14465,36.165577,-0.031323969,36.172686,-0.038432536
sn2002hd,0.035755,35.942565,0.142258,36.199319,-0.2567539,36.206356,-0.26379174
SDSS17784,0.03652,36.331548,0.115396,36.246543,0.085005903,36.25348,0.078068222
sn2000cf,0.036934,36.375857,0.140956,36.271698,0.10415852,36.278582,0.097274752
sn2006nz,0.03695,36.320147,0.114021,36.272665,0.047481576,36.279547,0.040599884
sn2006mo,0.036969,36.387901,0.141722,36.273813,0.11408838,36.280692,0.10720916
sn2001eh,0.037075,36.277857,0.139296,36.280203,-0.0023460605,36.287069,-0.0092115182
sn2002hu,0.038086,36.296658,0.138952,36.340278,-0.043620585,36.347013,-0.050355427
sn1999aw,0.039083,36.509804,0.139901,36.39802,0.11178396,36.404627,0.10517673
sn2003fa,0.039219,36.406044,0.138984,36.405785,0.00025961795,36.412375,-0.0063302934
sn2001az,0.040259,36.605765,0.142119,36.464313,0.14145141,36.470771,0.13499319
sn2005lz,0.040689,36.527676,0.139014,36.488084,0.039592066,36.494488,0.033187927
sn1992bh,0.041657,36.777361,0.141016,36.540714,0.23664681,36.546997,0.23036361
sn1992bl,0.0424,36.547697,0.142756,36.580311,-0.032614096,36.586503,-0.038805209
SDSS10805,0.04413,36.522649,0.11486,36.669959,-0.14731004,36.675938,-0.15328923
SDSS14279,0.04428,36.542955,0.113705,36.677571,-0.13461582,36.683532,-0.1405768
sn2005hc,0.04492,36.813793,0.111373,36.709768,0.10402451,36.715652,0.098140932
sn2004gu,0.046856,36.696633,0.137271,36.804525,-0.10789197,36.810178,-0.11354425
sn1995ac,0.048984,36.599681,0.139079,36.904401,-0.30472071,36.909804,-0.31012369
sn1993ag,0.049325,36.840252,0.140167,36.920014,-0.079762708,36.925378,-0.085126224
sn1990af,0.049519,36.896049,0.139446,36.92885,-0.032801702,36.934191,-0.03814282
sn1993o,0.053126,37.097132,0.139575,37.087314,0.0098188172,37.092246,0.004886456
sn1998dx,0.05386,37.0011,0.140685,37.118284,-0.11718401,37.123135,-0.12203497
sn1999ao,0.054931,37.291241,0.143919,37.162751,0.12849018,37.167484,0.12375695
SDSS19968,0.05499,37.155275,0.112893,37.165176,-0.0099011105,37.169903,-0.014627892
SDSS6558,0.05634,37.255335,0.112867,37.219994,0.035341114,37.224574,0.030760846
SDSS14318,0.05654,37.11319,0.122398,37.228008,-0.11481736,37.232566,-0.11937609
SDSS17745,0.05874,37.467552,0.114585,37.314397,0.15315564,37.318722,0.14883095
sn2006ob,0.059289,37.302212,0.111086,37.335469,-0.033257509,37.339736,-0.037524604
sn2006oa,0.060959,37.39072,0.11093,37.398434,-0.0077139958,37.402528,-0.011807882
SDSS3901,0.062818,37.378504,0.112357,37.466604,-0.088099621,37.470509,-0.092004178
sn2007ae,0.062961,37.387267,0.140212,37.471767,-0.084500355,37.475658,-0.0883905
sn1992bs,0.063345,37.666991,0.141293,37.485577,0.18141428,37.489429,0.17756274
SDSS10028,0.064229,37.448507,0.112975,37.517065,-0.068557611,37.520828,-0.072320894
sn2006an,0.065193,37.623736,0.139912,37.550932,0.072803862,37.5546,0.069135902
SDSS6057,0.06651,37.545335,0.112612,37.596432,-0.051097206,37.599971,-0.054636497
sn2006al,0.069122,37.86837,0.145157,37.684174,0.18419666,37.687463,0.18090728
sn2006on,0.069751,37.544255,0.111409,37.704828,-0.16057271,37.708058,-0.16380295
sn1993b,0.070153,37.633652,0.146379,37.717935,-0.08428396,37.721128,-0.087476614
SDSS17240,0.07153,37.643365,0.157968,37.762295,-0.11893036,37.76536,-0.1219955
SDSS17880,0.07195,37.593299,0.112772,37.775663,-0.18236359,37.778689,-0.18539022
sn1992ae,0.074579,37.735149,0.141947,37.857682,-0.12253265,37.860471,-0.12532221
sn2005ir,0.07487,37.849941,0.110074,37.86659,-0.016649127,37.869354,-0.019412862
SDSS19155,0.07592,38.018827,0.112389,37.898461,0.12036684,37.901132,0.11769558
sn1999bp,0.078317,37.975452,0.138307,37.969669,0.0057831365,37.972133,0.0033189295
SDSS17186,0.07849,38.285205,0.113854,37.974728,0.31047749,37.977177,0.30802801
sn1992bp,0.07884,37.792706,0.138584,37.98493,-0.19222404,37.987349,-0.19464381
SDSS12779,0.07891,38.072741,0.117766,37.986965,0.085775878,37.989379,0.083362034
