ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
194,5542.7,-18.1436,0.793541,6653.22,-1110.51,-28.7405,10.5969,0.75266,0.0408807,7271.94,-1729.24,-40.4142,22.2706,0.855393,-0.0618519
203,5446.22,-7.21464,0.694054,6813.71,-1367.49,-16.885,9.67041,0.711911,-0.0178572,7474.24,-2028.02,-29.5148,22.3002,0.765043,-0.0709886
212,5636.34,2.53847,0.877642,6918.79,-1282.45,-3.01462,5.55309,0.739546,0.138097,7619.53,-1983.19,-16.3586,18.8971,0.71866,0.158983
221,5816.48,17.9047,0.874199,6966.87,-1150.39,12.5018,5.40287,0.864196,0.0100027,7705.36,-1888.88,-1.25577,19.1605,0.744166,0.130033
230,5684.66,26.6053,1.23818,6956.68,-1272.02,29.225,-2.61974,1.11335,0.124831,7729.52,-2044.86,15.4127,11.1925,0.868528,0.369655
239,5776.16,46.2991,1.78071,6888.31,-1112.15,46.6642,-0.3651,1.51148,0.269235,7691.19,-1915.03,33.2144,13.0847,1.11569,0.665021
248,5435.47,50.6637,2.10983,6763.22,-1327.75,64.2914,-13.6277,2.07857,0.0312648,7590.91,-2155.45,51.6796,-1.01584,1.50513,0.604703
257,5228,71.5358,3.13386,6584.29,-1356.29,81.5585,-10.0227,2.82887,0.304999,7430.69,-2202.69,70.3114,1.22437,2.0512,1.08266
266,5090.29,86.4306,3.86066,6355.96,-1265.67,97.8743,-11.4438,3.77149,0.0891719,7214.26,-2123.97,88.5151,-2.08448,2.76822,1.09245
275,5096.49,106.963,5.31265,6084.84,-988.356,112.67,-5.70713,4.90873,0.403913,6947.66,-1851.17,105.692,1.2711,3.66606,1.64658
284,4546.18,102.707,5.82483,5777.58,-1231.4,125.417,-22.7099,6.23416,-0.409337,6636.95,-2090.76,121.282,-18.5759,4.74593,1.0789
293,4371.25,117.073,8.21385,5441.82,-1070.58,135.661,-18.5883,7.73265,0.4812,6289.19,-1917.95,134.804,-17.7315,6.0003,2.21356
302,3935.72,117.089,9.31107,5085.15,-1149.43,143.017,-25.9278,9.37985,-0.0687828,5911.39,-1975.67,145.841,-28.7512,7.41244,1.89863
311,3649.99,119.046,10.9594,4715.85,-1065.86,147.212,-28.1654,11.1434,-0.184003,5511.59,-1861.6,154.06,-35.0139,8.95815,2.00127
320,3411.94,112.762,12.6384,4342.81,-930.869,148.06,-35.2979,12.9815,-0.343064,5099.16,-1687.22,159.162,-46.4003,10.6047,2.03372
329,3173.93,117.149,15.1816,3974.57,-800.637,145.482,-28.333,14.8464,0.335188,4683.21,-1509.28,160.944,-43.7945,12.3137,2.86782
338,2842.13,105.901,16.0657,3619.06,-776.922,139.507,-33.6061,16.687,-0.62136,4272.24,-1430.11,159.309,-53.4086,14.0435,2.02217
347,2498.24,86.2064,16.2208,3283.42,-785.185,130.282,-44.0753,18.4522,-2.23137,3873.99,-1375.75,154.284,-68.0772,15.752,0.468786
356,2358.31,79.8487,18.6902,2973.52,-615.214,118.022,-38.1729,20.089,-1.39882,3494.91,-1136.6,145.959,-66.11,17.3952,1.29501
365,2186.33,61.0311,18.5056,2695.05,-508.722,103.137,-42.1061,21.547,-3.04135,3141.9,-955.567,134.634,-73.6032,18.9241,-0.418482
374,2038.68,46.4875,21.0827,2452.2,-413.522,86.1055,-39.618,22.7718,-1.68908,2820.69,-782.013,120.683,-74.1959,20.2817,0.801046
383,1891.76,31.557,21.4257,2248.05,-356.292,67.4724,-35.9154,23.7197,-2.29406,2535.93,-644.177,104.548,-72.9911,21.4212,0.00446273
392,1787.59,19.7448,22.3593,2084.56,-296.973,47.7966,-28.0518,24.3557,-1.99645,2291.15,-503.556,86.6832,-66.9385,22.3047,0.0545331
401,1734.58,-0.544681,21.1747,1962.36,-227.776,27.6619,-28.2066,24.6604,-3.48569,2088.5,-353.923,67.569,-68.1137,22.9099,-1.73524
410,1738.05,-21.8916,21.0336,1881.05,-142.998,7.66001,-29.5516,24.621,-3.58735,1929.13,-191.073,47.7255,-69.6171,23.2182,-2.18456
419,1731.61,-35.0666,19.2941,1838.25,-106.645,-11.5562,-23.5104,24.2379,-4.94377,1811.95,-80.3401,27.8264,-62.893,23.2154,-3.92134
428,1770.01,-48.4463,19.1288,1830.98,-60.9721,-29.3777,-19.0686,23.5209,-4.3921,1735.29,34.7239,8.51842,-56.9647,22.8956,-3.7668
437,1770.68,-61.9365,19.3346,1855.31,-84.6281,-45.2822,-16.6543,22.4962,-3.16158,1696.5,74.1734,-9.63881,-52.2977,22.2689,-2.93427
446,1856.79,-62.1436,17.3252,1907.14,-50.3494,-58.8268,-3.31685,21.1984,-3.87326,1692.81,163.975,-26.1649,-35.9787,21.3541,-4.02888
455,2045.9,-74.4981,15.4382,1981.69,64.2118,-69.6668,-4.83125,19.6723,-4.23409,1720.68,325.217,-40.6742,-33.8238,20.1799,-4.74168
464,2224.7,-80.0589,14.5813,2073.42,151.281,-77.5362,-2.52264,17.9764,-3.39505,1775.15,449.55,-52.7953,-27.2636,18.7902,-4.20892
473,2178.24,-75.3658,11.5893,2176.49,1.75097,-82.296,6.93013,16.1843,-4.59501,1850.36,327.883,-62.2281,-13.1377,17.2449,-5.65564
482,2323.36,-71.9894,11.4556,2284.85,38.5072,-83.8884,11.899,14.3699,-2.91428,1940.22,383.138,-68.7524,-3.23708,15.6039,-4.14835
491,2418.7,-71.1199,10.3049,2393.18,25.5206,-82.3699,11.2501,12.607,-2.30212,2039.38,379.321,-72.2617,1.14184,13.9275,-3.62254
500,2447.25,-59.624,8.30294,2496.63,-49.3794,-77.8926,18.2686,10.965,-2.66209,2142.95,304.299,-72.7455,13.1214,12.2709,-3.968
509,2577.77,-47.175,8.22746,2590.71,-12.9377,-70.7137,23.5387,9.51124,-1.28378,2246.2,331.573,-70.303,23.128,10.6914,-2.46394
518,2558.51,-42.4169,7.35097,2671.82,-113.305,-61.2646,18.8477,8.31925,-0.968284,2344.43,214.084,-65.2273,22.8104,9.26594,-1.91497
527,2579.22,-23.0411,6.50428,2736.45,-157.236,-50.0349,26.9938,7.4538,-0.949516,2432.83,146.384,-57.8743,34.8332,8.0662,-1.56192
536,2523.98,-18.6287,6.71246,2782.21,-258.233,-37.5379,18.9092,6.9657,-0.253243,2507.71,16.273,-48.6237,29.995,7.14992,-0.437463
545,2519.15,-1.43395,8.58876,2807.61,-288.458,-24.3102,22.8762,6.89121,1.69755,2566.26,-47.1064,-37.8785,36.4445,6.56028,2.02847
554,2566.59,3.55431,8.51755,2811.85,-245.267,-10.8622,14.4165,7.25085,1.2667,2606.39,-39.8065,-26.018,29.5724,6.32499,2.19256
563,2545.99,11.5793,10.6431,2795.39,-249.391,2.2357,9.3436,8.04985,2.59327,2627.23,-81.2332,-13.5561,25.1354,6.46424,4.17888
572,2409.8,18.6254,11.8913,2759.49,-349.682,14.3642,4.26114,9.27992,2.61137,2628.69,-218.891,-1.1417,19.7671,6.99368,4.89761
581,2410.13,26.5374,15.4975,2705.95,-295.826,24.9885,1.54896,10.9174,4.58003,2611.24,-201.118,10.6557,15.8817,7.91414,7.58331
590,2373.46,26.8724,15.2827,2637.41,-263.95,33.6559,-6.78349,12.9256,2.3571,2576.15,-202.693,21.349,5.5234,9.21327,6.06939
599,2206.46,28.2947,18.225,2556.45,-349.988,39.9956,-11.7009,15.2562,2.96883,2524.67,-318.201,30.5328,-2.23814,10.8674,7.35764
608,2119.7,32.2515,22.1034,2465.84,-346.135,43.7401,-11.4885,17.849,4.25437,2458.32,-338.624,37.8881,-5.63657,12.8398,9.26356
617,2135.45,23.9273,25.8934,2369.39,-233.94,44.7009,-20.7737,20.6211,5.27226,2380.5,-245.044,43.0805,-19.1532,15.0669,10.8265
626,1951.2,10.8452,25.9867,2271.31,-320.117,42.7966,-31.9514,23.4844,2.50226,2295.17,-343.973,45.8494,-35.0041,17.4782,8.50845
635,1938.19,7.54114,30.1719,2175.43,-237.247,38.0353,-30.4941,26.3496,3.82222,2205.98,-267.789,46.0239,-38.4828,20.0021,10.1697
644,1859.9,-5.033,32.9222,2085.15,-225.251,30.5133,-35.5463,29.1307,3.79144,2116.11,-256.21,43.5215,-48.5545,22.5703,10.3519
653,1847.08,-15.3753,32.8238,2003.36,-156.273,20.4143,-35.7896,31.7466,1.07713,2028.27,-181.181,38.347,-53.7223,25.1191,7.70468
662,1848.18,-29.9359,34.7378,1932.75,-84.5707,8.05266,-37.9886,34.1226,0.61515,1945.4,-97.2143,30.6474,-60.5833,27.5811,7.15673
671,1814.96,-56.9826,36.3808,1875.84,-60.8823,-6.11295,-50.8697,36.1754,0.205417,1870.95,-55.9933,20.7319,-77.7145,29.8642,6.51659
680,1760.56,-66.7884,36.6042,1834.53,-73.9708,-21.5894,-45.199,37.8342,-1.23003,1807.85,-47.2868,8.94561,-75.734,31.8878,4.71633
689,1822.41,-80.806,38.1163,1810.07,12.3364,-37.863,-42.9429,39.0404,-0.924002,1758.34,64.0723,-4.34563,-76.4603,33.5832,4.53315
698,1884.92,-94.2074,38.9399,1803.17,81.7444,-54.4474,-39.76,39.7639,-0.823911,1724.13,160.783,-18.8034,-75.404,34.9103,4.02966
707,1891,-99.954,36.5131,1813.82,77.1771,-70.8525,-29.1015,39.9857,-3.47267,1706.25,184.751,-34.0716,-65.8824,35.8385,0.674556
716,1908.77,-113.946,36.4293,1841.04,67.7295,-86.5001,-27.4458,39.7049,-3.27559,1704.82,203.952,-49.5929,-64.353,36.3424,0.0868756
725,1994.29,-122.488,33.4393,1883.18,111.109,-100.794,-21.6943,38.9312,-5.49191,1719.37,274.922,-64.7386,-57.7498,36.4015,-2.96224
734,2050.06,-127.683,32.2593,1938.61,111.444,-113.255,-14.4279,37.6974,-5.43806,1749.43,300.624,-78.9969,-48.6863,36.0181,-3.75881
743,2184.75,-130.614,27.6853,2005.18,179.572,-123.454,-7.15905,36.0429,-8.35757,1794.03,390.725,-91.9054,-38.7081,35.2012,-7.51592
752,2260,-131.217,27.3087,2080.39,179.616,-131.065,-0.1523,34.0214,-6.71273,1851.82,408.182,-103.104,-28.1129,33.9742,-6.66547
761,2344.61,-126.704,24.6929,2161.54,183.069,-135.861,9.15714,31.7004,-7.00744,1921,423.606,-112.289,-14.4149,32.3767,-7.68378
770,2348.38,-117.03,21.1035,2245.36,103.02,-137.669,20.6394,29.174,-8.07052,1998.57,349.814,-119.111,2.0811,30.4815,-9.37805
779,2350.93,-109.053,19.3843,2327.97,22.9565,-136.392,27.3384,26.5386,-7.15429,2080.84,270.095,-123.285,14.2317,28.364,-8.97977
788,2481.01,-104.286,19.3659,2406.69,74.3242,-132.08,27.7943,23.887,-4.52114,2165.32,315.695,-124.676,20.3901,26.0963,-6.73045
797,2466.93,-89.1184,17.3212,2478.24,-11.3048,-124.78,35.6611,21.3049,-3.98371,2248.94,217.989,-123.142,34.0232,23.7431,-6.42187
806,2493.81,-77.0153,16.1542,2540.59,-46.7824,-114.721,37.7052,18.874,-2.71978,2329.83,163.98,-118.727,41.7113,21.3667,-5.21255
815,2552.73,-64.7342,14.1638,2590.94,-38.2156,-102.19,37.4553,16.6821,-2.51832,2404.66,148.063,-111.546,46.8119,19.0545,-4.89067
824,2521.81,-49.9835,12.1229,2627.57,-105.764,-87.6544,37.6709,14.8155,-2.6926,2470.81,50.9942,-101.905,51.9219,16.9035,-4.78066
833,2495.02,-27.9085,11.6282,2648.42,-153.408,-71.5429,43.6344,13.3467,-1.7185,2525.3,-30.2852,-90.0704,62.1618,14.998,-3.36976
842,2505.47,-17.8662,13.3085,2652.55,-147.079,-54.3347,36.4686,12.3308,0.977642,2566.25,-60.7833,-76.3585,58.4923,13.4041,-0.095655
851,2383.14,3.01617,13.0309,2639.41,-256.261,-36.4832,39.4994,11.8001,1.23077,2592.21,-209.061,-61.0612,64.0774,12.1657,0.865246
860,2355.55,13.7369,15.4091,2608.6,-253.053,-18.4422,32.1791,11.7772,3.63182,2601.79,-246.241,-44.5113,58.2482,11.3218,4.0873
869,2237.42,27.841,16.3651,2561.48,-324.068,-0.809817,28.6508,12.2602,4.10488,2595.22,-357.805,-27.3043,55.1453,10.9021,5.46302
