Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSF,residual_QRSF
04D2mc,0.34956,41.044308,0.089792,41.362955,-0.31864694,41.508184,-0.46387541
05D2hc,0.35156,41.523688,0.086351,41.377443,0.14624543,41.522871,0.00081692693
SDSS19067,0.35346,41.102633,0.125157,41.391136,-0.28850367,41.536755,-0.43412248
05D2mp,0.355261,41.574652,0.088265,41.404054,0.17059788,41.549853,0.024798418
03D3bl,0.35582,41.349554,0.087008,41.408051,-0.058496831,41.553907,-0.20435242
04D3fk,0.358336,41.265612,0.086303,41.425971,-0.16035834,41.572079,-0.30646681
04D2fs,0.35857,41.300602,0.086485,41.427631,-0.12702912,41.573763,-0.27316114
SDSS4577,0.36193,41.385403,0.13291,41.451368,-0.06596514,41.597839,-0.21243566
SDSS15704,0.36397,41.634053,0.127982,41.465682,0.16837156,41.612358,0.02169513
SDSS13136,0.36441,41.757434,0.131873,41.468759,0.28867447,41.61548,0.14195358
SDSS16232,0.36554,41.511378,0.137024,41.476647,0.034730673,41.623482,-0.11210445
04D1hd,0.367904,41.603385,0.086082,41.493076,0.11030852,41.640151,-0.036765858
SDSS14397,0.36941,41.776703,0.131466,41.503492,0.27321044,41.650719,0.12598341
SDSS18091,0.37013,41.457867,0.138604,41.508458,-0.050591496,41.655758,-0.19789154
05D4bm,0.370511,41.502519,0.086476,41.511082,-0.0085636334,41.658421,-0.15590234
05D3jr,0.370531,41.401449,0.086626,41.51122,-0.10977102,41.658561,-0.25711175
04D2cf,0.370586,41.434925,0.095747,41.511599,-0.076673569,41.658945,-0.22401989
03D3ay,0.371443,41.572252,0.091326,41.517491,0.054761265,41.664924,-0.092672051
05D4fo,0.371508,41.548853,0.086225,41.517938,0.030915351,41.665377,-0.11652457
05D4cw,0.373513,41.478103,0.086768,41.531673,-0.053569482,41.679316,-0.20121316
SDSS15756,0.37835,42.112175,0.135103,41.564531,0.54764419,41.712667,0.39950784
SDSS7779,0.37986,41.476242,0.118539,41.574709,-0.098467113,41.723,-0.24675759
SDSS11206,0.38026,41.674685,0.138121,41.577399,0.097286024,41.72573,-0.051045305
SDSS15456,0.38047,41.140725,0.12548,41.57881,-0.43808533,41.727163,-0.58643812
SDSS18721,0.39135,41.584881,0.148848,41.650961,-0.066080109,41.800429,-0.21554832
05D4ff,0.400485,41.549539,0.087548,41.710126,-0.16058784,41.860537,-0.31099839
SDSS19757,0.40128,41.390726,0.134806,41.715216,-0.32449012,41.865709,-0.47498291
06D3ed,0.404549,41.81249,0.086483,41.736049,0.07644134,41.88688,-0.074390083
05D4dt,0.405478,41.859724,0.086962,41.741941,0.117783,41.892869,-0.033144773
06D4cq,0.40947,41.784188,0.086547,41.767119,0.017069636,41.918461,-0.13427272
04D2fp,0.416632,41.805162,0.087194,41.811727,-0.0065646573,41.963816,-0.1586531
05D2dw,0.418633,41.721512,0.087692,41.824064,-0.10255129,41.976361,-0.25484871
05D3cf,0.419569,41.926438,0.087595,41.829816,0.096622076,41.982211,-0.055773172
04D4gg,0.422452,41.692885,0.08807,41.847459,-0.15457343,42.000155,-0.30727029
05D2cb,0.428646,42.081888,0.089103,41.88499,0.19689817,42.038336,0.043551799
04D1rh,0.434861,41.900171,0.087188,41.922148,-0.021977427,42.076148,-0.17597752
06D4co,0.435446,41.663732,0.086944,41.925621,-0.26188842,42.079682,-0.41595014
06D3df,0.442548,41.957619,0.08709,41.967434,-0.0098152502,42.122245,-0.16462656
06D2gb,0.443668,41.858169,0.091594,41.973971,-0.11580231,42.128901,-0.27073207
03D3aw,0.449562,42.09792,0.091912,42.008124,0.089795768,42.163678,-0.065758239
04D3gt,0.451556,41.668287,0.087828,42.019585,-0.35129761,42.17535,-0.50706319
04D2gb,0.451681,41.642176,0.088233,42.020302,-0.37812581,42.17608,-0.53390465
03D3cd,0.461274,42.021038,0.095948,42.074776,-0.053737731,42.231575,-0.2105369
05D3lc,0.461564,42.062843,0.087413,42.076407,-0.013564093,42.233237,-0.17039417
03D4au,0.466414,42.51309,0.09035,42.103533,0.40955695,42.260881,0.25220943
04D4jr,0.468406,42.095314,0.087451,42.114599,-0.019285643,42.27216,-0.17684596
04D4ju,0.470398,42.396229,0.088446,42.125622,0.27060754,42.283395,0.11283425
05D3mx,0.470573,42.080709,0.088704,42.126588,-0.04587913,42.28438,-0.20367113
04D3df,0.470586,41.962434,0.087988,42.12666,-0.16422595,42.284453,-0.32201934
05D2bv,0.475707,42.086819,0.087947,42.154788,-0.067968076,42.313129,-0.22630973
05D3dd,0.480568,42.060041,0.088055,42.181228,-0.12118794,42.340092,-0.28005096
05D2ac,0.480704,42.047102,0.087736,42.181965,-0.13486227,42.340842,-0.29373988
05D1ix,0.4888,42.207458,0.08839,42.225444,-0.017985796,42.385192,-0.17773375
03D1ax,0.494795,42.21649,0.08811,42.257211,-0.04072077,42.417605,-0.2011147
05D4af,0.497379,42.25339,0.088758,42.270793,-0.017402972,42.431465,-0.17807572
06D2bk,0.500728,42.376417,0.089131,42.288298,0.08811857,42.449333,-0.07291587
03D1au,0.503084,42.269525,0.088031,42.300548,-0.031023402,42.461837,-0.1923125
05D4av,0.507371,42.213205,0.089015,42.322701,-0.10949687,42.484454,-0.27124981
05D2dy,0.511746,42.495409,0.088554,42.345131,0.15027885,42.507357,-0.011948032
04D1pg,0.513793,42.442246,0.090087,42.355563,0.086682893,42.518012,-0.07576593
