ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSF_tt,residual_QRSF_tt,Dl_QRSF_te,residual_QRSF_te,Dl_QRSF_ee,residual_QRSF_ee
1265,777.489,-10.6252,32.123,739.922,37.5668,-13.3642,2.73908,31.2797,0.843258,759.378,18.1116,-6.14176,-4.48341,30.2365,1.88654
1274,770.016,-6.18903,28.0386,720.529,49.4867,-20.7324,14.5434,32.0986,-4.05996,735.199,34.8176,-13.1113,6.92227,31.3085,-3.26985
1283,736.545,-25.4341,25.1459,707.034,29.5116,-28.3579,2.92381,32.5667,-7.42079,716.814,19.7307,-20.5548,-4.87926,32.0537,-6.90779
1292,758.18,-27.8221,32.7948,699.333,58.8468,-35.9639,8.14179,32.668,0.126858,704.322,53.858,-28.203,0.380904,32.4462,0.348649
1301,733.856,-31.3034,32.8301,697.149,36.7067,-43.2684,11.965,32.4024,0.427674,697.64,36.2157,-35.7812,4.47784,32.4761,0.353934
1310,712.532,-45.6622,32.308,700.015,12.5172,-50.0114,4.34929,31.7796,0.528426,696.477,16.0554,-43.0274,-2.63473,32.1437,0.164304
1319,718.903,-45.3274,37.0351,707.365,11.538,-55.9815,10.6541,30.8209,6.21416,700.373,18.5296,-49.701,4.3736,31.4617,5.57333
1328,723.408,-52.8192,22.7581,718.493,4.91516,-60.9967,8.17751,29.5631,-6.80498,708.718,14.6893,-55.5861,2.76689,30.4586,-7.70052
1337,757.937,-50.5695,32.7284,732.548,25.3885,-64.9033,14.3337,28.0489,4.67951,720.757,37.1795,-60.4949,9.92537,29.1688,3.55963
1346,737.666,-57.1386,25.6747,748.572,-10.9059,-67.5817,10.4431,26.3302,-0.655472,735.625,2.04105,-64.274,7.13536,27.6357,-1.96098
1355,765.134,-65.5484,22.1336,765.519,-0.385127,-68.9486,3.40018,24.4636,-2.32999,752.367,12.7672,-66.8058,1.2574,25.908,-3.77434
1364,776.923,-62.1891,20.8649,782.464,-5.54139,-68.9805,6.79143,22.511,-1.64603,770.055,6.86766,-68.03,5.84098,24.044,-3.17912
1373,777.362,-56.4015,13.9711,798.547,-21.1848,-67.6957,11.2942,20.5288,-6.55769,787.748,-10.386,-67.9258,11.5242,22.1013,-8.13026
1382,773.981,-47.5995,19.7096,812.923,-38.9417,-65.1575,17.558,18.5766,1.13305,804.517,-30.536,-66.517,18.9175,20.1403,-0.430678
1391,806.044,-66.4348,18.9034,824.774,-18.7296,-61.4635,-4.97133,16.7116,2.19178,819.46,-13.4155,-63.8619,-2.57291,18.2191,0.684243
1400,830.177,-61.3485,26.3292,833.404,-3.2273,-56.7609,-4.58756,14.9914,11.3378,831.796,-1.61923,-60.0686,-1.27989,16.3964,9.93279
1409,822.186,-54.6345,5.1988,838.207,-16.0211,-51.2171,-3.41741,13.4652,-8.26643,840.822,-18.6359,-55.2703,0.63578,14.7235,-9.52466
1418,818.106,-52.4991,20.0139,838.786,-20.6798,-45.0058,-7.49331,12.1698,7.8441,845.99,-27.8837,-49.6279,-2.87115,13.2444,6.76946
1427,796.252,-38.2634,20.0412,834.95,-38.6977,-38.3256,0.0621403,11.1349,8.90632,846.945,-50.6928,-43.3326,5.06919,11.9976,8.04356
1436,803.463,-40.2416,13.1922,826.604,-23.1404,-31.3853,-8.8563,10.3807,2.81154,843.429,-39.9651,-36.5856,-3.65597,11.0119,2.18037
1445,798.655,-37.8014,10.43,813.781,-15.126,-24.4045,-13.3969,9.91872,0.511262,835.309,-36.6544,-29.599,-8.20238,10.3071,0.122835
1454,773.833,-26.0106,2.1953,796.644,-22.8107,-17.6046,-8.40601,9.75078,-7.55548,822.588,-48.7543,-22.5871,-3.42354,9.89387,-7.69857
1463,762.183,-21.7373,18.35,775.565,-13.3818,-11.1872,-10.5502,9.86938,8.48061,805.507,-43.3242,-15.7601,-5.97724,9.77259,8.5774
1472,749.532,-9.44394,12.4154,750.943,-1.41157,-5.31409,-4.12985,10.2576,2.15779,784.381,-34.8492,-9.3066,-0.137336,9.93384,2.48154
1481,738.185,2.7698,16.5295,723.302,14.883,-0.13307,2.90287,10.8898,5.63966,759.646,-21.4612,-3.40197,6.17177,10.3594,6.17001
1490,727.424,-4.9052,14.6158,693.303,34.121,4.22929,-9.13449,11.7322,2.88363,731.88,-4.45627,1.79952,-6.70472,11.023,3.59281
1499,701.642,-1.96257,-1.3298,661.63,40.0128,7.67128,-9.63385,12.7432,-14.073,701.681,-0.0388843,6.16848,-8.13106,11.8904,-13.2202
1512,655.678,7.47919,21.9852,614.393,41.2844,10.882,-3.40281,14.4077,7.57746,655.12,0.55771,10.8148,-3.33564,13.4216,8.56362
1529,588.39,9.37829,16.3364,553.045,35.3444,11.8798,-2.50155,16.7468,-0.41042,592.245,-3.85514,13.7133,-4.33503,15.7206,0.615787
1546,547.01,10.0139,17.2441,496.165,50.8452,9.4834,0.530502,18.9832,-1.73914,531.473,15.537,13.0355,-3.02164,18.0659,-0.82184
1563,503.657,-0.414165,16.8062,447.492,56.1651,4.2863,-4.70046,20.8136,-4.0074,476.978,26.6788,9.16163,-9.57579,20.1472,-3.34101
1580,468.039,-1.86885,6.00044,409.474,58.5656,-2.90039,1.03154,22.0162,-16.0157,431.935,36.104,2.79352,-4.66237,21.708,-15.7076
1597,429.111,-9.9112,23.6655,383.225,45.8869,-11.0819,1.17069,22.4581,1.20747,398.332,30.7797,-5.13156,-4.77964,22.5672,1.09832
