ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv4_tt,residual_USMFv4_tt,Dl_USMFv4_te,residual_USMFv4_te,Dl_USMFv4_ee,residual_USMFv4_ee
1563,503.657,-0.414165,16.8062,492.765,10.8921,12.5151,-12.9293,20.0442,-3.23805,602.95,-99.2933,-53.5466,53.1324,30.7024,-13.8962
1580,468.039,-1.86885,6.00044,444.029,24.01,6.42181,-8.29066,21.7309,-15.7304,602.876,-134.837,-60.3301,58.4612,29.1908,-23.1903
1597,429.111,-9.9112,23.6655,406.628,22.4838,-1.47692,-8.43427,22.7347,0.930817,608.371,-179.26,-65.0741,55.1629,27.0098,-3.34421
1614,407.925,-9.49197,28.6547,381.601,26.3238,-10.1595,0.667547,22.9353,5.71941,616.004,-208.079,-67.3215,57.8295,24.3616,4.29311
1631,399.577,-25.3687,25.01,368.573,31.004,-18.5846,-6.78406,22.3179,2.6921,623.691,-224.114,-66.9931,41.6245,21.4196,3.59048
1648,389.097,-22.7408,15.7028,365.968,23.1283,-25.8136,3.07284,20.9567,-5.2539,629.315,-240.218,-64.2796,41.5388,18.3891,-2.68626
1665,391.497,-25.4964,25.7318,371.329,20.168,-31.1152,5.61874,19.0006,6.73115,630.259,-238.762,-59.5323,34.0358,15.5227,10.2091
1682,385.396,-29.9275,35.6797,381.546,3.84948,-34.0442,4.11673,16.6573,19.0224,625.429,-240.034,-53.1197,23.1923,12.9742,22.7055
1699,400.368,-26.1074,19.884,393.338,7.02954,-34.4516,8.34419,14.1699,5.71405,614.329,-213.962,-45.6114,19.504,10.877,9.00701
1716,393.039,-22.1731,-2.30435,403.616,-10.5769,-32.4686,10.2955,11.7765,-14.0808,596.675,-203.636,-37.745,15.5718,9.34885,-11.6532
1733,407.61,-28.2166,10.7442,409.864,-2.25361,-28.5121,0.295583,9.69201,1.05215,572.84,-165.23,-30.0092,1.79268,8.43473,2.30943
1750,377.716,-22.2324,37.1788,410.284,-32.5685,-23.1817,0.949268,8.08482,29.094,543.941,-166.226,-22.9163,0.683925,8.11798,29.0608
1767,379.019,-13.1588,21.6818,403.946,-24.9271,-17.1791,4.02038,7.06084,14.621,511.612,-132.593,-17.0069,3.84816,8.33538,13.3465
1784,377.36,-11.8144,-18.8184,390.949,-13.5894,-11.2368,-0.577602,6.65257,-25.471,477.104,-99.7449,-12.5564,0.741988,9.01363,-27.832
1801,358.796,-8.0874,23.4248,372.171,-13.3754,-6.02498,-2.06242,6.82459,16.6002,442.101,-83.3049,-9.70431,1.61691,10.0274,13.3974
