ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSFv2_tt,residual_QRSFv2_tt,Dl_QRSFv2_te,residual_QRSFv2_te,Dl_QRSFv2_ee,residual_QRSFv2_ee
950,1342.39,41.3038,37.058,1274.05,68.3392,37.8546,3.44919,39.2703,-2.21235,1875.76,-533.375,-86.7968,128.101,57.2087,-20.1507
959,1285.75,33.7705,39.3482,1198.87,86.8792,26.9855,6.785,41.0899,-1.74168,1904.15,-618.402,-102.026,135.796,54.9307,-15.5826
968,1232.84,20.9026,40.3395,1135.36,97.4819,14.8763,6.02628,42.4686,-2.12905,1944.93,-712.094,-115.095,135.998,52.3214,-11.9819
977,1129.03,9.81707,40.4442,1084.11,44.9216,1.95594,7.86113,43.366,-2.92187,1996.47,-867.442,-125.888,135.705,49.4255,-8.98136
986,1103.57,-0.29649,38.6279,1045.3,58.2796,-11.339,11.0425,43.7577,-5.12976,2056.71,-953.133,-134.28,133.983,46.3039,-7.67597
995,1087.32,-14.7591,42.2792,1018.73,68.5873,-24.5911,9.83206,43.6322,-1.35303,2123.22,-1035.9,-140.164,125.405,43.0304,-0.751255
1004,1024.83,-37.3546,40.1553,1003.91,20.9122,-37.3651,0.0104436,42.9905,-2.83523,2193.3,-1168.48,-143.419,106.065,39.6901,0.465234
1013,1079.48,-45.221,46.1332,999.774,79.7067,-49.2183,3.9973,41.8569,4.27635,2264.53,-1185.05,-143.957,98.7357,36.3513,9.78185
1022,1032.41,-48.6768,42.9829,1005.29,27.1121,-59.8662,11.1894,40.2822,2.70068,2335.5,-1303.09,-141.895,93.2178,33.0639,9.91901
1031,1040.79,-54.6481,39.2361,1019.01,21.7778,-68.9566,14.3085,38.3077,0.928362,2404.43,-1363.64,-137.286,82.6375,29.8648,9.37128
1040,1055.91,-59.1628,36.5526,1039.4,16.502,-76.2993,17.1365,36.0088,0.543767,2469.47,-1413.57,-130.344,71.1815,26.8255,9.72704
1049,1081.98,-73.5188,35.8932,1064.57,17.4108,-81.6706,8.15183,33.4566,2.4366,2528.41,-1446.43,-121.252,47.7335,24.0133,11.8799
1058,1129.81,-82.3317,37.0442,1092.75,37.0589,-85.0006,2.66888,30.728,6.31619,2579.29,-1449.48,-110.318,27.9866,21.4942,15.55
1067,1122.39,-80.9655,28.6378,1122.14,0.247443,-86.2564,5.29091,27.9227,0.715074,2620.88,-1498.48,-97.7412,16.7758,19.3198,9.31798
1076,1153.29,-78.7501,25.1823,1151.09,2.1973,-85.4743,6.7242,25.1202,0.062095,2652.35,-1499.06,-83.7385,4.98833,17.5086,7.67375
1085,1217.71,-73.3497,20.9454,1177.97,39.7443,-82.7668,9.41707,22.408,-1.46258,2672.92,-1455.21,-68.6031,-4.74663,16.0867,4.85867
1094,1216.98,-76.2582,25.9907,1201.28,15.6981,-78.2978,2.03961,19.8664,6.12434,2681.92,-1464.94,-52.6801,-23.5782,15.0735,10.9172
1103,1211.44,-56.3317,16.4541,1219.77,-8.33665,-72.3073,15.9756,17.5725,-1.11838,2678.94,-1467.51,-36.3886,-19.9431,14.4849,1.96921
1112,1213.36,-55.9813,15.7459,1232.45,-19.0869,-65.0668,9.0855,15.5906,0.155281,2663.8,-1450.44,-20.094,-35.8873,14.3286,1.41727
1121,1246.29,-48.5737,15.3649,1238.6,7.69332,-56.874,8.30031,13.9724,1.3925,2636.62,-1390.33,-4.05485,-44.5188,14.6068,0.758065
1130,1237.54,-42.9851,15.5914,1237.73,-0.189892,-48.0459,5.06082,12.7567,2.83462,2597.71,-1360.17,11.4623,-54.4474,15.3095,0.281893
1139,1215.83,-47.6841,13.6421,1229.72,-13.8909,-38.9266,-8.75754,11.9699,1.67225,2547.77,-1331.93,26.164,-73.8481,16.4139,-2.77172
1148,1212.52,-23.673,13.5995,1214.63,-2.11108,-29.8538,6.18084,11.6219,1.97764,2487.67,-1275.15,39.7629,-63.4359,17.8811,-4.28159
1157,1220.58,-15.6744,14.5019,1192.8,27.7822,-21.159,5.48459,11.708,2.79393,2418.53,-1197.95,51.9818,-67.6561,19.6612,-5.15929
1166,1159.29,-21.3026,9.18108,1164.86,-5.57164,-13.1409,-8.16163,12.2097,-3.02865,2341.5,-1182.21,62.6036,-83.9062,21.7193,-12.5382
1175,1143.31,-13.603,10.5746,1131.59,11.7154,-6.05925,-7.54371,13.0954,-2.5208,2257.7,-1114.4,71.4643,-85.0673,24.0212,-13.4466
1184,1136.56,-5.79308,12.8028,1093.95,42.6129,-0.137078,-5.656,14.321,-1.51816,2168.48,-1031.92,78.4361,-84.2292,26.5204,-13.7176
1193,1086.25,-2.23866,12.7564,1052.96,33.2845,4.44449,-6.68315,15.8311,-3.07471,2075.23,-988.981,83.4333,-85.672,29.1591,-16.4027
1202,1005.41,0.797025,23.1519,1009.88,-4.46898,7.55682,-6.7598,17.5612,5.59077,1979.55,-974.146,86.4226,-85.6255,31.8702,-8.71821
1211,975.189,6.31648,21.2917,965.902,9.2866,9.12704,-2.81056,19.4413,1.85036,1883,-907.811,87.4012,-81.0847,34.5885,-13.2968
1220,970.73,11.2854,18.0007,922.235,48.4954,9.14166,2.14372,21.4016,-3.40097,1787.01,-816.283,86.373,-75.0877,37.2636,-19.2629
1229,906.514,0.795071,24.1192,880.002,26.5122,7.63684,-6.84177,23.3692,0.749978,1692.96,-786.448,83.3852,-82.5902,39.8438,-15.7246
1238,895.506,-1.70669,26.9876,840.298,55.2081,4.71002,-6.41671,25.2737,1.71382,1602.18,-706.678,78.546,-80.2527,42.2802,-15.2926
1247,860.053,6.50815,28.9322,804.057,55.9962,0.498385,6.00977,27.0449,1.88726,1515.85,-655.8,72.0034,-65.4952,44.5237,-15.5916
1256,805.618,-5.07351,28.2583,772.077,33.5408,-4.81757,-0.255944,28.6175,-0.35918,1435.02,-629.4,63.9468,-69.0204,46.5296,-18.2713
1265,777.489,-10.6252,32.123,745.015,32.4745,-11.0229,0.397727,29.9399,2.18313,1360.69,-583.205,54.5789,-65.2041,48.2574,-16.1344
1274,770.016,-6.18903,28.0386,723.3,46.7159,-17.8853,11.6963,30.9694,-2.93075,1293.74,-523.723,44.1057,-50.2947,49.6694,-21.6307
1283,736.545,-25.4341,25.1459,707.184,29.3612,-25.1511,-0.282979,31.6741,-6.52816,1234.83,-498.288,32.7545,-58.1886,50.7385,-25.5926
1292,758.18,-27.8221,32.7948,696.686,61.4947,-32.5573,4.7352,32.0295,0.765365,1184.42,-426.242,20.7618,-48.5839,51.4452,-18.6503
1301,733.856,-31.3034,32.8301,691.646,42.2101,-39.8356,8.53224,32.0272,0.802838,1142.78,-408.922,8.36956,-39.6729,51.786,-18.9559
1310,712.532,-45.6622,32.308,691.714,20.8183,-46.7322,1.07002,31.6687,0.639312,1109.97,-397.439,-4.17627,-41.4859,51.7615,-19.4536
1319,718.903,-45.3274,37.0351,696.422,22.4812,-53.0197,7.69225,30.9671,6.06795,1085.93,-367.031,-16.6027,-28.7247,51.3682,-14.3331
1328,723.408,-52.8192,22.7581,705.158,18.2497,-58.4965,5.67724,29.9511,-7.19303,1070.45,-347.046,-28.653,-24.1662,50.6147,-27.8566
1337,757.937,-50.5695,32.7284,717.168,40.7687,-62.989,12.4195,28.6554,4.07297,1063.17,-305.237,-40.0984,-10.4711,49.5159,-16.7875
1346,737.666,-57.1386,25.6747,731.587,6.07941,-66.3581,9.21948,27.1238,-1.44906,1063.63,-325.96,-50.7445,-6.39409,48.0957,-22.421
1355,765.134,-65.5484,22.1336,747.461,17.6729,-68.5003,2.95188,25.405,-3.27134,1071.24,-306.107,-60.4299,-5.11846,46.3833,-24.2497
1364,776.923,-62.1891,20.8649,763.9,13.0225,-69.3662,7.1771,23.5569,-2.69202,1085.24,-308.318,-68.9963,6.80724,44.4191,-23.5542
1373,777.362,-56.4015,13.9711,780.028,-2.66652,-68.943,12.5415,21.6359,-7.66488,1104.63,-327.265,-76.2779,19.8764,42.2438,-28.2727
1382,773.981,-47.5995,19.7096,794.985,-21.0038,-67.263,19.6635,19.7013,0.00835261,1128.41,-354.43,-82.1523,34.5528,39.9011,-20.1915
1391,806.044,-66.4348,18.9034,807.934,-1.88995,-64.3924,-2.04242,17.8099,1.09347,1155.63,-349.584,-86.5316,20.0968,37.4326,-18.5292
1400,830.177,-61.3485,26.3292,818.164,12.0131,-60.4474,-0.901046,16.0192,10.31,1185.44,-355.26,-89.3773,28.0289,34.8801,-8.55091
1409,822.186,-54.6345,5.1988,825.036,-2.85049,-55.5673,0.932826,14.3794,-9.18061,1216.96,-394.776,-90.6783,36.0438,32.2839,-27.0851
1418,818.106,-52.4991,20.0139,828.071,-9.96482,-49.9103,-2.58873,12.9332,7.08071,1249.04,-430.932,-90.4583,37.9593,29.6992,-9.68533
1427,796.252,-38.2634,20.0412,826.978,-30.726,-43.6628,5.39933,11.7174,8.32373,1280.59,-484.334,-88.7732,50.5097,27.1812,-7.14003
1436,803.463,-40.2416,13.1922,821.565,-18.1014,-37.021,-3.22059,10.7596,2.43258,1310.62,-507.157,-85.6887,45.4471,24.7754,-11.5832
1445,798.655,-37.8014,10.43,811.765,-13.1106,-30.1923,-7.60906,10.0784,0.351608,1338.28,-539.629,-81.2817,43.4803,22.5186,-12.0886
