ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_CPCfRGravityCosmology,residual_CPCfRGravityCosmology,Dl_CPCfRGravityCosmology_tt,residual_CPCfRGravityCosmology_tt,Dl_CPCfRGravityCosmology_te,residual_CPCfRGravityCosmology_te,Dl_CPCfRGravityCosmology_ee,residual_CPCfRGravityCosmology_ee
365,2186.33,61.0311,18.5056,2273.36,-87.0295,82.1204,-21.0893,19.2577,-0.752074,,,,,,,,
374,2038.68,46.4875,21.0827,2076.77,-38.0933,65.9627,-19.4752,20.1759,0.906772,,,,,,,,
383,1891.76,31.557,21.4257,1917.57,-25.817,48.6613,-17.1043,20.8205,0.605206,,,,,,,,
392,1787.59,19.7448,22.3593,1796.74,-9.14784,30.7734,-11.0286,21.1652,1.19409,,,,,,,,
401,1734.58,-0.544681,21.1747,1713.88,20.6956,12.8815,-13.4261,21.1997,-0.0249665,,,,,,,,
410,1738.05,-21.8916,21.0336,1667.78,70.2773,-4.44502,-17.4465,20.9202,0.113385,,,,,,,,
419,1731.61,-35.0666,19.2941,1655.53,76.0738,-20.6353,-14.4313,20.3366,-1.0425,,,,,,,,
428,1770.01,-48.4463,19.1288,1673.77,96.2424,-35.1729,-13.2734,19.4679,-0.339135,,,,,,,,
437,1770.68,-61.9365,19.3346,1718.13,52.549,-47.6284,-14.3081,18.3497,0.984876,,,,,,,,
446,1856.79,-62.1436,17.3252,1784.12,72.6705,-57.6515,-4.4921,17.0261,0.299114,,,,,,,,
455,2045.9,-74.4981,15.4382,1866.56,179.339,-64.9909,-9.50717,15.5506,-0.112369,,,,,,,,
464,2224.7,-80.0589,14.5813,1960.05,264.646,-69.4831,-10.5758,13.9847,0.596661,,,,,,,,
473,2178.24,-75.3658,11.5893,2059.34,118.898,-71.0999,-4.26596,12.3993,-0.81003,,,,,,,,
482,2323.36,-71.9894,11.4556,2158.98,164.382,-69.8947,-2.09474,10.8655,0.59007,,,,,,,,
491,2418.7,-71.1199,10.3049,2254.23,164.469,-66.035,-5.08484,9.45441,0.850507,,,,,,,,
500,2447.25,-59.624,8.30294,2340.86,106.39,-59.784,0.159974,8.23242,0.0705246,,,,,,,,
509,2577.77,-47.175,8.22746,2415.06,162.715,-51.4934,4.31833,7.26162,0.965845,,,,,,,,
518,2558.51,-42.4169,7.35097,2474.25,84.2687,-41.6224,-0.794528,6.60044,0.750532,,,,,,,,
527,2579.22,-23.0411,6.50428,2516.03,63.1898,-30.6721,7.63096,6.29594,0.208346,,,,,,,,
536,2523.98,-18.6287,6.71246,2539.11,-15.1345,-19.1669,0.538217,6.38128,0.331177,,,,,,,,
545,2519.15,-1.43395,8.58876,2543.12,-23.9734,-7.65481,6.22086,6.87506,1.7137,,,,,,,,
554,2566.59,3.55431,8.51755,2528.37,38.2148,3.34437,0.209943,7.78014,0.737407,,,,,,,,
563,2545.99,11.5793,10.6431,2496.16,49.8369,13.3117,-1.73237,9.08431,1.55881,,,,,,,,
572,2409.8,18.6254,11.8913,2448.35,-38.5472,21.7492,-3.12383,10.7621,1.12922,,,,,,,,
581,2410.13,26.5374,15.4975,2387.32,22.8018,28.2473,-1.70989,12.7726,2.72488,,,,,,,,
590,2373.46,26.8724,15.2827,2316.27,57.1852,32.4788,-5.60641,15.0618,0.220823,,,,,,,,
599,2206.46,28.2947,18.225,2238.37,-31.9042,34.1981,-5.90342,17.5645,0.66051,,,,,,,,
608,2119.7,32.2515,22.1034,2156.81,-37.1065,33.2663,-1.01479,20.2055,1.89789,,,,,,,,
617,2135.45,23.9273,25.8934,2075.14,60.3106,29.6431,-5.71583,22.9004,2.99294,,,,,,,,
626,1951.2,10.8452,25.9867,1997.03,-45.8361,23.4015,-12.5563,25.5645,0.4222,,,,,,,,
635,1938.19,7.54114,30.1719,1925.78,12.4039,14.7042,-7.16304,28.1116,2.0603,,,,,,,,
644,1859.9,-5.033,32.9222,1864.26,-4.35846,3.80224,-8.83523,30.4588,2.46331,,,,,,,,
653,1847.08,-15.3753,32.8238,1814.82,32.2691,-8.96691,-6.40842,32.5287,0.295105,,,,,,,,
662,1848.18,-29.9359,34.7378,1779.39,68.7891,-23.1802,-6.75572,34.2577,0.480077,,,,,,,,
671,1814.96,-56.9826,36.3808,1759.38,55.5748,-38.3407,-18.642,35.5867,0.794167,,,,,,,,
680,1760.56,-66.7884,36.6042,1755.56,5.00447,-53.9228,-12.8656,36.4698,0.134359,,,,,,,,
