ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QuantumAttractorUnifiedCosmology_tt,residual_QuantumAttractorUnifiedCosmology_tt,Dl_QuantumAttractorUnifiedCosmology_te,residual_QuantumAttractorUnifiedCosmology_te,Dl_QuantumAttractorUnifiedCosmology_ee,residual_QuantumAttractorUnifiedCosmology_ee
473,2178.24,-75.3658,11.5893,2212.66,-34.4226,-75.5374,0.171585,11.8848,-0.295542,1870.04,308.203,-63.55,-11.8158,17.3625,-5.77325
482,2323.36,-71.9894,11.4556,2310.57,12.7903,-72.0774,0.0879528,10.3555,1.10009,1961.12,362.235,-69.9798,-2.00961,15.7063,-4.25073
491,2418.7,-71.1199,10.3049,2400.33,18.3698,-66.0821,-5.03772,8.99811,1.30681,2061.26,357.443,-73.3759,2.25604,14.0154,-3.71049
500,2447.25,-59.624,8.30294,2478.03,-30.7719,-57.9006,-1.72343,7.88332,0.419626,2165.55,281.706,-73.7303,14.1063,12.3458,-4.04289
509,2577.77,-47.175,8.22746,2540.22,37.5492,-47.9619,0.786879,7.07538,1.15208,2269.24,308.536,-71.1454,23.9704,10.7552,-2.52771
518,2558.51,-42.4169,7.35097,2585.02,-26.5052,-36.7694,-5.64758,6.62689,0.724073,2367.65,190.862,-65.9183,23.5014,9.32085,-1.96988
527,2579.22,-23.0411,6.50428,2610.75,-31.5292,-24.8595,1.81837,6.57705,-0.0727642,2456,123.219,-58.4096,35.3685,8.11483,-1.61055
536,2523.98,-18.6287,6.71246,2616.85,-92.8678,-12.7925,-5.83624,6.95115,-0.238686,2530.59,-6.61098,-49.0033,30.3746,7.19518,-0.482722
545,2519.15,-1.43395,8.58876,2603.67,-84.5224,-1.15179,-0.282162,7.75992,0.828842,2588.65,-69.4999,-38.107,36.6731,6.60537,1.98338
554,2566.59,3.55431,8.51755,2572.26,-5.67907,9.50843,-5.95411,8.99829,-0.480745,2628.1,-61.518,-26.1045,29.6588,6.37342,2.14413
563,2545.99,11.5793,10.6431,2524.52,21.4776,18.6767,-7.09744,10.6438,-0.000688913,2648.09,-102.095,-13.5131,25.0924,6.51952,4.1236
572,2409.8,18.6254,11.8913,2462.73,-52.9257,25.911,-7.28564,12.658,-0.766722,2648.57,-238.768,-0.984341,19.6097,7.05905,4.83224
581,2410.13,26.5374,15.4975,2389.7,20.4256,30.86,-4.32262,14.987,0.510468,2630.03,-219.909,10.9099,15.6276,7.99248,7.50497
590,2373.46,26.8724,15.2827,2309.05,64.4082,33.2551,-6.38269,17.5636,-2.28098,2593.79,-220.328,21.68,5.1924,9.30717,5.97549
599,2206.46,28.2947,18.225,2224.37,-17.9096,32.909,-4.61434,20.3095,-2.08453,2541.11,-334.643,30.9182,-2.62352,10.9791,7.24593
608,2119.7,32.2515,22.1034,2139.21,-19.5128,29.7457,2.50586,23.1377,-1.03428,2473.57,-353.868,38.3034,-6.05192,12.9712,9.13215
617,2135.45,23.9273,25.8934,2057.02,78.433,23.8112,0.116064,25.958,-0.0646733,2394.56,-259.11,43.5021,-19.5748,15.2193,10.6741
626,1951.2,10.8452,25.9867,1981.2,-29.9982,15.2735,-4.42826,28.6825,-2.69582,2308.1,-356.902,46.2551,-35.4099,17.6522,8.33442
635,1938.19,7.54114,30.1719,1914.78,23.4012,4.39004,3.15109,31.2216,-1.04971,2217.83,-279.642,46.3934,-38.8522,20.1977,9.97412
644,1859.9,-5.033,32.9222,1860.4,-0.500135,-8.49324,3.46025,33.4891,-0.566941,2126.97,-267.07,43.8358,-48.8688,22.7867,10.1355
653,1847.08,-15.3753,32.8238,1820.14,26.9496,-22.9445,7.56919,35.4041,-2.58036,2038.24,-191.154,38.5889,-53.9642,25.3549,7.46883
662,1848.18,-29.9359,34.7378,1795.53,52.6479,-38.4706,8.53464,36.9058,-2.16801,1954.6,-106.416,30.8022,-60.7381,27.8344,6.90341
671,1814.96,-56.9826,36.3808,1787.38,27.5732,-54.5419,-2.44075,37.946,-1.56518,1879.5,-64.5398,20.7884,-77.771,30.1326,6.24818
680,1760.56,-66.7884,36.6042,1795.84,-35.2733,-70.6036,3.81521,38.4911,-1.8869,1815.85,-55.2889,8.89644,-75.6848,32.1686,4.43558
689,1822.41,-80.806,38.1163,1820.36,2.04544,-86.0803,5.27432,38.5194,-0.403051,1765.9,56.5064,-4.50409,-76.3019,33.8732,4.24318
698,1884.92,-94.2074,38.9399,1859.92,24.9987,-100.424,6.21651,38.038,0.901901,1731.37,153.549,-19.0711,-75.1363,35.206,3.73399
707,1891,-99.954,36.5131,1912.78,-21.7854,-113.104,13.15,37.0653,-0.552272,1713.25,177.748,-34.4446,-65.5094,36.136,0.377036
716,1908.77,-113.946,36.4293,1976.75,-67.9867,-123.67,9.72379,35.6394,0.789892,1711.67,197.093,-50.0648,-63.8811,36.638,-0.208718
725,1994.29,-122.488,33.4393,2049.19,-54.9009,-131.733,9.2444,33.8103,-0.371012,1726.15,268.139,-65.3006,-57.1878,36.6917,-3.25237
734,2050.06,-127.683,32.2593,2127.46,-77.4032,-137.022,9.33924,31.6509,0.608403,1756.19,293.864,-79.6378,-48.0454,36.2995,-4.04021
743,2184.75,-130.614,27.6853,2208.41,-23.6607,-139.318,8.70406,29.2409,-1.55554,1800.8,383.954,-92.6117,-38.0019,35.4709,-7.78555
752,2260,-131.217,27.3087,2288.56,-28.5578,-138.5,7.28273,26.6739,0.634764,1858.62,401.382,-103.86,-27.3572,34.2292,-6.92056
761,2344.61,-126.704,24.6929,2364.72,-20.1169,-134.576,7.87156,24.0456,0.647316,1927.83,416.777,-113.077,-13.6268,32.6149,-7.92192
770,2348.38,-117.03,21.1035,2434.21,-85.8256,-127.651,10.6208,21.4531,-0.349657,2005.42,342.966,-119.915,2.88507,30.701,-9.59747
779,2350.93,-109.053,19.3843,2493.84,-142.907,-117.913,8.86029,18.9926,0.391714,2087.68,263.252,-124.089,15.0361,28.5636,-9.17935
788,2481.01,-104.286,19.3659,2541.64,-60.6282,-105.702,1.41642,16.7566,2.60925,2172.12,308.893,-125.466,21.1804,26.2756,-6.90973
